flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars
  Sharma Devanshi,9382665846, No Matter What I Do - I End Up Falling for You,475,100,4.2
  Dhamija Vish,9380349246, Nothing Lasts Forever,421,105,4.3
  Sidney Sheldon,8172234937, THE OTHER SIDE OF MIDNIGHT,386,209,4.5
  Garg Sachin,8192222667, It's First Love!,733,144,4.2
  Tiwari Anuj,8129149567, I TAGGED HER IN MY HEART,452,109,4.5
  Paramahansa Yogananda,8189535056, The Divine Romance: Collected Talks and Essays on Realizing God in Daily Life (Volumes - 2),32,175,4.8
  Shenoy Preeti,9383260688, The One You Cannot Have,1785,180,4.2
  Shenoy Preeti,9386036452, It's All in the Planets,732,196,4.3
  Sidney Sheldon,8172234864, BLOODLINE,362,280,4.5
  John Gray,8172235038, MEN ARE FROM MARS- WOMEN ARE FROM VENUS,2581,209,4.4
  Segal Erich,1444776967, Love Story,910,103,4.3
  Sidney Sheldon,8172234791, THE STARS SHINE DOWN,129,218,4.4
  Sheldon Sidney,8172234856, Nothing Lasts Forever,590,280,4.5
  Stephenie Meyer,1904233910, Eclipse,558,309,4.5
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2
  Einstein Albert,9380914229, Relativity,1121,175,4.5
  unknown,9387504913, Oswaal CBSE Question Bank for Class 10 Science (Mar 2019 Exam),1879,247,4.5
  unknown,9312149601, All in One Science Cbse Class 10th,3135,274,4.5
  unknown,9384761141, Lucent's General Science,1903,183,4.2
  unknown,9386348713, The Ancient Science of Mantras - Wisdom of the Sages,228,298,4.5
  Chenglei W.Malemnganba,9312146475, UGC Net Physical Science,224,515,4.4
  unknown,9312147501, All in One Science Class 8th,341,151,4.5
  unknown,9352831810, Chemistry for Class 10 - Includes Model Test Papers as Per the Latest Marking Scheme,945,381,4.6
  Panel of Experts,9388036662, Oswaal CBSE Sample Question Paper Class 10 Science (For March 2019 Exam),350,133,4.6
  unknown,9352831802, Physics for Class 10 - Includes Model Test Papers as Per the Latest Marking Scheme,935,320,4.5
  unknown,9352831829, Biology for Class 10 (2019 Exam) - Includes Model Test Papers as Per the Latest Marking Scheme,939,322,4.5
  unknown,9383643242, A Handbook for Computer Science /it Engineering,490,191,4.3
  unknown,9312149687, All in One Science Cbse Class 9th,1078,230,4.5
  unknown,9387504921, Oswaal CBSE Question Bank for Class 10 Social Science (Mar 2019 Exam),1539,303,4.4
  Sekhri Seema,8120352394, Textbook of Fabric Science,19,265,4.5
  Arihant Experts,9312147420, All In One Social Science Class 6,138,126,4.5
  Lakhmir Singh' and  ' Manjit Kaur,9352530241, Lakhmir Singh's Science Book-8- 1/e,35,344,4.3
  ARIHANT TEAM,9313166607, Magbook General Science 2019,64,136,4.3
  Disha Experts,9388026330, Olympiad Champs Science Class 4 with Past Olympiad Questions 3rd Edition,18,114,4.3
  Disha Experts,9388026764, 19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise Solved Papers (2018 - 2000) with 4 Online Practice Sets 5th Edition,46,189,4.2
  Madaan K.V.S,9332551731, CBSE UGC NET/SET/JRF,2001,249,4.4
  Panel of Experts,9388036573, Oswaal CBSE Sample Question Paper Class 9 Science (For March 2019 Exam),35,150,4.4
  Panel of Experts,9388036670, Oswaal CBSE Sample Question Paper Class 10 Social Science (For March 2019 Exam),248,140,4.5
  unknown,9312140329, Ctet & Tets Previous Year' Solved Papers Mathematics & Science Class vi-VIII,356,149,4.2
  unknown,9312147307, General Knowledge 2019,8181,30,4.3
  Goyal Minni,9312149091, All in One Computer Science Cbse Class 12th,261,232,4.5
  unknown,9350944308, Handbook of Computer Science & it,950,120,4.2
  unknown,9312147528, All in One Social Science Class 8th,345,186,4.4
  unknown,9311130796, Social Science & Pedagogy for CTET & TETs Class VI-VIII,140,138,4.2
  unknown,9312149598, All in One Mathematics Cbse Class 10th,1137,234,4.5
  unknown,9312140221, Ctet Success Master Science Social/Studies Paper-II for Class vi-VIII,567,286,4.3
  Disha Experts,9388026365, Science With Past Olympiad Questions for Class 5 Third Edition,25,114,4.2
  Dr Upreti Kanchan,9351415708, Ncert Solutions - Science for Class Ix,370,92,4.5
  Disha Experts,9388026292, Olympiad Champs Science Class 3 with Past Olympiad Questions 3rd Edition,22,126,4.6
  Xamidea,9387516881, Xam Idea Complete course SOCIAL SCIENCE Class 10 -2018,200,324,4.4
  Gurukul Books,9387660451, 10 Last Years Solved Papers (HSC) - Science - Maharashtra Board Class 12 for 2019 Examination,22,695,4.2
  Panel of Experts,9387504832, Oswaal CBSE Question Bank For Class 9 Science (Mar 2019 Exam),272,265,4.4
  Binay Karna,9384761540, General Knowledge - lucent gk book,6418,180,4.4
  Ahlawat Anil,9387351580, National Science Olympiad Workbook (NSO) - Class 2,15,62,4.5
  Dr Upreti Kanchan,9351415708, Ncert Solutions - Science for Class Ix,370,92,4.5
  MTG Editorial Board,9387949818, 10 Years CBSE Champion Chapterwise-Topicwise Social Science -Class- 10,62,166,4.7
  Dr. Joseph Murphy,8192910962, The Power of Your Subconscious Mind,4640,94,4.5
  Hill Napoleon,8192910911, Think and Grow Rich,2871,94,4.5
  Jeff Keller,9351772071, ATTITUDE IS EVERYTHING,5887,118,4.5
  Charles Duhigg,1847946240, The Power of Habit,1682,305,4.4
  Paulo Coelho,8172234988, ALCHEMIST,16859,209,4.6
  Carnegie Dale,8192910997, How To Win Friends & Influence People - The First and Still the Best Book of Its kind on Self-Help,231,130,4.5
  Covey Stephen R.,1471131823, The 7 Habits Of Highly Effective People,2290,373,4.4
  Carnegie Dale,8175993952, How To Stop Worrying And Start Living,93,125,4.4
  ROBIN SHARMA,9387944891, The 5 AM Club : Own Your Morning- Elevate Your Life,895,210,4.6
  Sharma Robin S.,8179922324, Who Will Cry When You Die?,5611,115,4.4
  Khurshed Batliwala (Author)' and  ' Dinesh Ghodke (Author),9352641345, Ready- Study- Go!: Smart Ways to Learn - Smart Ways to Learn,574,178,4.4
  John Gray,8172235038, MEN ARE FROM MARS- WOMEN ARE FROM VENUS,2581,209,4.4
  Byrne Rhonda,1471172392, The Secret,1395,373,4.2
  Murphy Joseph,8183225101, Miracles of Your Mind,1399,117,4.3
  Shenoy Preeti,9380349300, Life is What You Make it,10007,86,4.1
  Pillai Radhakrishnan,8129144441, Chanakya In Daily Life,1023,178,4.4
  Khera Shiv,9382951717, You Can Win,6129,232,4.5
  Vasudev Sadhguru Jaggi,9386867508, Emotion & Relationships,1150,159,4.6
  Aditi Singhal' and  ' Sudhir Singhal,8184005210, How to Memorize Anything - The Ultimate Handbook to Explore and Improve Your Memory,598,255,4.3
  Kenneth Blanchard,8172234996, ONE MINUTE MANAGER,1087,118,4.4
  Hay Louise L.,8190565583, You Can Heal Your Life,1450,252,4.4
  Brian Tracy,9350291606, KISS THAT FROG!,248,119,4.4
  Goldsmith Marshall,1781251568, What Got You Here Won't Get You There,446,224,4.4
  Robin Sharma,8184951191, The Leader Who had no title,1344,160,4.4
  Carnegie Dale,8184302614, The Art of Public Speaking,52,177,3.9
  Byrne Rhonda,1849838399, The Magic,2498,255,4.4
  D. Patel Kamlesh,9386850567, The Heartfulness Way - Heart - Based Meditations for Spiritual Transformation,479,189,4.7
  David J. Schwartz,1785040472, The Magic of Thinking Big,2001,227,4.5
  Sanghi Ashwin,9386224763, 13 Steps to Bloody Good Marks,140,100,4.3
  David J. Lieberman,8184952422, You Can Read Anyone,13,299,4.4
  Pease Allan,8186775056, Questions are the Answers,1891,76,4.4
 ,8179926877, The Greatest Salesman In The World,185,109,4.5
  Dalio Ray,1501124021, Principles,80,733,4.8
  unknown,8180320235, Know Your Worth - Stop Thinking- Start Doing,36,251,4.3
  Sharma Robin,8184959893, Little Black Book for Stunning Success + Tools for Action Mastery,104,220,4.4
  Vageria Arpit,9382665889, You are My Reason to Smile,902,101,4.3
  Dixit Sudhir,8183220185, Time Management,302,99,4.2
  Hill Napoleon,8183223133, Think and Grow Rich - Magic Formula for Success- Wealth and Wisdom,196,203,4.3
  Panel of Experts,9388036689, Oswaal CBSE Sample Question Paper Class 10 Mathematics (For March 2019 Exam),410,139,4.5
  Deep Trivedi,9384850098, I am The Mind,577,199,4.3
  Rangarajan T. T.,8183225705, Unposted Letter,874,218,4.6
  unknown,8184952007, Don't Polish Your Ignorance - It May Shine,122,209,4.5
  Nitin Singhania,9387067548, Indian Art and Culture - For Civil Services Preliminary and Main Examinations Second Edition,5444,390,4.6
  unknown,9387504921, Oswaal CBSE Question Bank for Class 10 Social Science (Mar 2019 Exam),1539,303,4.4
  Dr. Murphy Joseph,8175993669, The Power Of Your Subconscious Mind,678,143,4.4
  Butler-Bowdon Tom,1473658284, 50 Self-Help Classics,6,368,5
  Hill Napoleon,8180320928, The Law of Success,5,421,3
  Rhonda Byrne,8183220940, Rahasya (Hindi Of The Secret),3981,233,4.3
  Abdul Kalam A. P. J.,9350293471, Turning Points : A Journey Through Challanges,4059,150,4.5
  Sanghi Ashwin,9384030570, 13 Steps to Bloody Good Luck,1457,114,4.1
  Shahi Ranjeet,9313163306, 40 Years' Chapterwise Topicwise Solved Papers (2018-1979) Iit Jee Chemistry - 40 Years Chapterwise Topicwise Solved Papers IIT JEE CHEMISTRY with 0 Disc,1712,247,4.5
  Howard Marks,1473680379, Mastering The Market Cycle,16,699,4.5
  Bansal Rashmi,9386850702, Touch The Sky - The Inspiring Stories of Women From Across India Who are Writing their Own Destiny,104,125,4.3
  Gupta Indu,9312149008, All in One Chemistry Cbse Class 12th,889,260,4.5
  Ryan Holiday,1781257019, Ego is the Enemy,146,389,4.6
  Hedges Burke,8182744466, Copycat Marketing 101,548,125,4.3
  Kiyoski Robert T.,8183223753, Panakkara Thanthai Yezhai Thanthai,600,220,4.4
  Robert T. Kiyosaki,8186775218, Rich Dad Poor Dad,5259,150,4.4
  DK,1405391243, The Psychology Book,32,930,4.8
  Vivekanand Swami,8170289262, Inspiring Thoughts,499,107,4.1
  Robbins Mel,1682612384, The 5 Second Rule,76,498,4.8
  Arun Sharma,9352606949, How to Prepare for Logical Reasoning for Common Admission Test & Other Management Examinations Fourth Edition,2379,451,4.5
  Robin Sharma,8179924947, Sanyasi Jisne Apani Samati Bech Di,464,170,4.4
  unknown,9312149601, All in One Science Cbse Class 10th,3135,274,4.5
  Editorial Board,9387958574, Xam Idea Chemistry Class 12,63,422,4.5
  Rhonda Byrne,8183222056, Secret ( Tamil ),1112,240,4.5
  Hill Napoleon,8183220797, Success,97,160,4.3
  TV18 Broadcast Ltd,9387860191, Everything You Wanted to Know About Stock Market Investing,35,320,4.3
  Sharma Robin S.,8179923274, Discover Your Destiny - With The Monk who Sold his Ferrari,659,235,4.5
  Pandey D. C.,9312147188, Understanding Physics for Jee Main & Advanced Electricity & Magnetism,983,327,4.6
  unknown,9351473635, GATE 2019: Mechanical Engineering - Previous Solved Papers - Includes 32 Years Solved Papers,985,510,4.4
  Sadhguru' and  ' Arundhathi Subramaniam,9352643925, Adiyogi,1377,178,4.6
  Hay Louise L.,9381431922, Mirror Work,32,280,4.2
  Rhonda Byrne,1471133443, Secret Hero,527,559,4.5
  Navanath Lokhande' and  ' Jack Canfield,8183225039, How to Get from Where You are to Where You Want to Be - The 25 Principles of Success,16,265,4.6
  Panel of Experts,9387504832, Oswaal CBSE Question Bank For Class 9 Science (Mar 2019 Exam),272,265,4.4
  Robert T. Kiyosaki,8186775811, Rich Dads Business School For People Who Like Helping People,1281,154,4.5
  BRIAN TRACY,8183221785, LAKSHYA,128,150,4.3
  unknown,9387504921, Oswaal CBSE Question Bank for Class 10 Social Science (Mar 2019 Exam),1539,303,4.4
  Panel of Experts,9388036670, Oswaal CBSE Sample Question Paper Class 10 Social Science (For March 2019 Exam),248,140,4.5
  Xamidea,9387516881, Xam Idea Complete course SOCIAL SCIENCE Class 10 -2018,200,324,4.4
  Arihant Experts,9312147420, All In One Social Science Class 6,138,126,4.5
  unknown,9312140221, Ctet Success Master Science Social/Studies Paper-II for Class vi-VIII,567,286,4.3
  unknown,9312147528, All in One Social Science Class 8th,345,186,4.4
  unknown,9311130796, Social Science & Pedagogy for CTET & TETs Class VI-VIII,140,138,4.2
  Panel of Experts,9386659964, Oswaal CBSE Question Bank Social Science for Class 8 (March 2018 Exam),78,159,4.1
  Namrata Singh' and  ' Anita Jain' and  ' Archana Gupta,9387672662, Together with CBSE/NCERT Practice Material of Social Science Class 10 for 2019 Examination,162,359,4.2
  Arihant Experts,9311121924, WORKBOOK SOCIAL SCIENCE CBSE- CLASS 6 - Class 6,93,92,4.4
  Namrata Singh' and  ' Anita Jain' and  ' Archana Gupta,9387840107, Together With NCERT Social Science Practice Material for Class 9,196,303,4.4
  Rastogi Sudha,8122421741, Social Science,204,507,4.3
  Panel of Experts,9388036573, Oswaal CBSE Sample Question Paper Class 9 Science (For March 2019 Exam),35,150,4.4
  Yukteswar Giri,8189535196, The Only Science,83,104,4.6
  Rau C. N. Shankar,8121924030, Sociology of Indian Society,100,539,4.1
  Rao Shankar C. N.,8121910366, Sociology,369,430,4.2
  Ahuja Ram,8131606279, Social Problems in India,618,295,4.3
  Ramakrishnan Venkit,9353023238, Gene machine,26,436,4.5
  Jindal D. Prashant,9352774531, One minute superdad,15,176,3.9
  Amish,9385152149, Ram - Scion of Ikshvaku,6160,240,4.4
  Harari Yuval Noah,1784703931, Homo Deus,338,270,4.5
  Paul Kalanithi,1847923674, When Breath Becomes Air,1873,332,4.6
  George Orwell,8192910903,1984,339,99,4.5
  Karan Thapar,9352779843, Devil's Advocate,108,417,4.6
  Fitzgerald F. Scott,8172344562, The great Gatsby,654,142,4.4
  Shashi Tharoor,9386021102, WHY I AM A HINDU,2010,324,4.4
  Amish,9382618341, Oath of the Vayuputras,8408,282,4.4
  Charles Duhigg,1847946240, The Power of Habit,1682,305,4.4
  Sanghi Ashwin,9386850648, Keepers of the Kalachakra,670,231,4.4
  Khaled Hosseini,1408844443, A Thousand Splendid Suns,2540,309,4.5
  Pandey Ajay K.,9382665870, Her Last Wish,2431,101,4.5
  Krishnamurti J.,1846042135, Freedom from the Known,169,195,4.6
  Kafka Franz,8172345135, Metamorphosis,466,94,4.4
  Tripathi Amish,9381626340, The Secret of the Nagas,6674,244,4.6
  Crabtree James,9353020174, The Billionaire Raj,45,445,4.4
  Robert Greene,1861972784, The 48 Laws Of Power,529,699,4.6
  Pattanaik Devdutt,9386224046, 7 Secrets of Shiva,131,244,4.6
  Paulo Coelho,8172235631, ELEVEN MINUTES,2201,209,4.4
  Bandyopadhyay,8125057234, From Plassey to Partition and After A History of Modern India,622,265,4.5
  Kamala Das,8172238975, MY STORY,322,178,4.3
  Robin Sharma,8184951191, The Leader Who had no title,1344,160,4.4
  Bhagat Chetan,8129135515, The 3 Mistakes of My Life,4808,113,4.4
  Josy Joseph,9350297515, A FEAST OF VULTURES,195,599,4.5
  Rajan Raghuram G.,9352770145, I Do What I Do,2416,436,4.6
  Kumar Keval J.,8172243731, Mass Communication in India,523,189,4.4
  Paulo Coelho,8172235437, VERONIKA DECIDES TO DIE,1393,209,4.4
  Malhotra Rajiv,8191067374, Breaking India,773,718,4.7
  Malhotra Rajiv,8191067374, Breaking India,773,718,4.7
  Yogananda,8189955357, Auto.Of A Yogi (Telugu),59,171,4.5
  Virginia Woolf,8175994215, Mrs. Dalloway,24,150,4.3
  Tripathi Amish,8193432002, Immortal India,782,159,4.3
  Aditi Singhal' and  ' Sudhir Singhal,8184005210, How to Memorize Anything - The Ultimate Handbook to Explore and Improve Your Memory,598,255,4.3
  Hill Napoleon,9562913244, Think and Grow Rich,2,529,5
  Srilal Sukla,8126713968, Raag Darbari,474,227,4.6
  Paramahansa Yogananda,8190256211, Yogi Kathamrit,370,210,4.5
  Neelakantan Anand,9381576033, Ajaya: Book 1,667,230,4.3
  Ganguly Sourav,9386228564, Century Is Not Enough,2653,434,4.7
  Bowers Chris,9381506841, Federer,35,326,4.5
  M.C. Mary Kom,9351160092, UNBREAKABLE,553,145,4.5
  Luca Caioli,1785782312, Ronaldo 2018 Updated Edition,26,200,4.3
  Sardesai Rajdeep,9386228483, Democracy's XI,198,447,4.6
  Ian Herbert,1472937333, Quiet Genius,4,306,4.8
  Memon Ayaz,8184955235, M S Dhoni - Captain Cool,133,150,4.3
  Bar-Zohar Michael,8184958455, Mossad,560,280,4.5
  Amish,9385152149, Ram - Scion of Ikshvaku,6160,240,4.4
  Mirza' and  ' Sania,9351362639, ACE AGAINST ODDS,252,275,4.4
  Chauhan Anuja,9385724835, The Zoya Factor,88,227,4.4
  Suprita Das,9353024552, Free Hit: The Story of Women's Cricket in India, ,311, 
  DK,1405344377, Strength Training,13,719,4.6
  unknown,8129141841, The Man-Eating Leopard of Rudraprayag,37,155,4.6
  Josy Joseph,9350297515, A FEAST OF VULTURES,195,599,4.5
  Vijay Lokapally,9385936263, Driven,542,320,4.6
  Giridhar S.,8132117387, Mid-Wicket Tales,27,379,4.4
  Khurshed Batliwala (Author)' and  ' Dinesh Ghodke (Author),9352641345, Ready- Study- Go!: Smart Ways to Learn - Smart Ways to Learn,574,178,4.4
  Madaan K.V.S,9332551731, CBSE UGC NET/SET/JRF,2001,249,4.4
  Barbara Pease' and  ' Allan,8183220142, The Definitive Book of Body Language,643,299,4.4
  Staff of the Harvard Crimson,1250127556, 50 Successful Harvard Application Essays,5,299,4
  Dr. Natarajan N.K.,8184955693, SSB Interview - The Complete Guide,3371,148,4.3
  Yunus A. Cengel' and  ' Afshin J. Ghajar,9339223195, Heat and Mass Transfer : Fundamentals and Applications 5 Edition,270,531,4.4
  Esther Duflo' and  ' Abhijit V. Banerjee,8184002807, Poor Economics: Rethinking Poverty & the Ways to End it,177,465,4.6
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2
  Khurmi R. S.,8121906288, Mechanical Engineering,5214,520,4.3
  Mehta V. K.,8121920973, Objective Electrical Technology,2905,494,4.3
  unknown,9350944308, Handbook of Computer Science & it,950,120,4.2
  Santosh Kumar Garg,8174090479, Irrigation Engineering and Hydraulic Structures 1st  Edition,191,570,4.5
  Disha Experts,9388026764, 19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise Solved Papers (2018 - 2000) with 4 Online Practice Sets 5th Edition,46,189,4.2
  Amiya Ranjan Mallick,8120351398, Practical Boiler Operation Engineering and Power Plant,185,499,4.3
  unknown,9383643242, A Handbook for Computer Science /it Engineering,490,191,4.3
  Keith Brown,8131733661, Hughes Electrical and Electronic Technology 10th  Edition,189,695,4.4
  Suresh Sharma,8131243745, Communication and Educational Technology in Nursing,21,520,4.5
  Arihant Experts,9313166461, Solved Papers for Manipal Engineering 2018,10,257,4.6
  Mahadevan K.,8123923155, Design Data Handbook for Mechanical Engineering in SI and Metric Units,661,344,4.3
  RAJAN Et Al,8120340957, HEAT TREATMENT : PRINCIPLES & TECHNIQUES- 2/E 2nd Edition,58,344,4.4
  Balagurusamy,9352607996, Object-Oriented Programming with C++,276,371,4.5
  Panel of Experts,9387504956, Oswaal CBSE Question Bank For Class 10 InFor mation Tech. (Mar 2019 Exam),35,195,4.4
  Er.Ankit Goel|Alka Singh,9312148222, Electronics and Communication Engineering GATE 2019,222,556,4.4
  unknown,9332551820, Introduction to Finite Elements in Engineering,40,543,4.4
  unknown,9388026586, 24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),2348,325,4.5
  Pandey D. C.,9313163292, 40 Years' Chapterwise Topicwise Solved Papers (2018-1979) Iit Jee Physics,1603,237,4.5
  Mehta V. K.,8121924960, Principles of Power System,608,439,4.4
  NCERT,8174506489, Chemistry (Class XII) (Part I) 1 Edition,666,163,4.3
  Goel Nidhi,9351416119, Ncert Solutions Physics 12th,650,82,4.2
  unknown,9312149547, All in One English Communicative Cbse Class 10th,2108,260,4.5
  Singh Vishram,8131252914, Textbook of Anatomy Head- Neck- and Brain; Volume III,8,631,5
  Yogambal Ashokkumar,8120346033, Textbook Of Bakery And Confectionery 2nd  Edition,133,233,4.4
  Bharucha Erach,8173718628, Textbook of Environmental Studies for Undergraduate Courses,434,200,4.3
  unknown,9352531965, A Textbook of Organic Chemistry,22,778,4.4
  Arihant Experts,9311121924, WORKBOOK SOCIAL SCIENCE CBSE- CLASS 6 - Class 6,93,92,4.4
  Tiwari Arun,8173711461, Wings of Fire,16362,265,4.6
  MTG EDITORIAL BOARD,9387747425, NCERT Text Book+Exemplar Problems-Solutions Mathematics Class 10,16,180,4.3
  NCERT,8174506136, Political Theory Textbook For Class XI 1 Edition,134,61,4.3
  Sekhri Seema,8120352394, Textbook of Fabric Science,19,265,4.5
  Shouvik Bhattacharya,9386643723, Murder in a Minute,338,162,4.4
  Bond Ruskin,8129144972, The Perfect Murder,279,118,4.3
  Salil Desai,8175994258, 3 and a Half Murders - An Inspector Saralkar Mystery,16,188,4.5
  Driscoll Teresa,1542046599, I Am Watching You,41,269,4.2
  Archer Jeffrey,1509867767, Tell Tale,313,255,4.5
  Sidney Sheldon,8172234937, THE OTHER SIDE OF MIDNIGHT,386,209,4.5
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5
  Tripathi Amish,9386224585, Sita,7022,226,4.6
  Vineet Bajpai,9352685482, Harappa - Curse of the Blood River,614,132,4.4
  Sanghi Ashwin,9386850648, Keepers of the Kalachakra,670,231,4.4
  Fitzgerald F. Scott,8172344562, The great Gatsby,654,142,4.4
  Dhamija Vish,9380349246, Nothing Lasts Forever,421,105,4.3
  Sanghi Ashwin,9381626685, The Krishna Key,3236,230,4.2
  Neelakantan Anand,9386224445, The Rise of Sivagami,2442,162,4.4
  Sidney Sheldon,8172234864, BLOODLINE,362,280,4.5
  K V Sridhar,9385936948, The 30 Seconds Thrillers,15,293,4.5
  Madeline Miller,1526603330, Circe,148,388,4.5
  Sidney Sheldon,8172234902, TELL ME YOUR DREAMS,902,209,4.5
  John Grisham,1473684587, The Reckoning - Some Crimes Make History,9,247,4
  Amish,9385152149, Ram - Scion of Ikshvaku,6160,240,4.4
  Sanghi Ashwin,9381626812, Chanakya's Chant,1849,244,4.3
  Amish,9382618341, Oath of the Vayuputras,8408,282,4.4
  Doyle Christopher C.,9385724223, The Secret of the Druids,182,209,4.3
  J. K. Rowling,1408855674, Harry Potter and the Prisoner of Azkaban,3250,314,4.6
  Reilly Matthew,1409167178, The Three Secret Cities,22,388,5
  Dubey Manish,9382665781, A Murder in Gurgaon,68,106,4.1
  Bar-Zohar Michael,8184958455, Mossad,560,280,4.5
  Sheldon Sidney,8172234856, Nothing Lasts Forever,590,280,4.5
  GHOSH BISHWANATH,9380032862, Chai- Chai: Travels in Places Where You Stop But Never Get Off,135,194,4
  MONISHA RAJESH,8174369139, AROUND INDIA IN 80 TRAINS,117,316,3.9
  Rudyard Kipling,9380914415, Tales from India,8,221,4.5
  Paulo Coelho,8172234988, ALCHEMIST,16859,209,4.6
  Dreamland Publications,8184511213, World Map,48,130,4.4
  Dreamland Publications,8184511523, India Map,29,104,4.3
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2
  Ajit Harisinghani,8175992948, One Life To Ride,47,188,4.4
  Isambard Wilkinson,9388038177, Travels in a Dervish Cloak, ,374, 
  William Dalrymple,9385936549, The Age of Kali Indian Travels and Encounters,13,349,4.8
  Ghosh Bishwanath,9386224984, Gazing at Neighbours - Travels Along the Line That Partitioned India,35,218,4.2
 ,8179926877, The Greatest Salesman In The World,185,109,4.5
  Murphy Joseph,8183225101, Miracles of Your Mind,1399,117,4.3
  Sudeep Nagarkar,8184005849, You're the Password to My Life,3013,131,4.3
  Menon Vivek,9350097605, Indian Mammals,324,777,4.6
  Paul Kalanithi,1847923674, When Breath Becomes Air,1873,332,4.6
  Manu S. Pillai,9351776425, The Ivory Throne,371,468,4.6
  Sadhguru' and  ' Arundhathi Subramaniam,9352643925, Adiyogi,1377,178,4.6
  Bar-Zohar Michael,8184958455, Mossad,560,280,4.5
  Om Swami,9351368068, A Monk's Memoir,478,311,4.5
  Josy Joseph,9350297515, A FEAST OF VULTURES,195,599,4.5
  Kamala Das,8172238975, MY STORY,322,178,4.3
  Abdul Kalam A. P. J.,8170286840, Inspiring Thoughts,357,149,4.2
  Northup Solomon,8175994479, 12 years a slave : - A True Story,56,140,4.4
  unknown,9386797143, AAP & Down: An Insider's Story of India's Most Controversial Party - An Insider's Story of India's Most Controversial Party,18,218,4.7
  Usman Yasser,8193284186, Rekha,127,239,4.3
  Khan Gabriel,9386850133, The Dirty Dozen - Hitmen of Mumbai Mafia,32,221,4.5
  Kane Kavita,8129144514, Lanka's Princess,235,178,4.5
  Garg Prachi,9382665897, Supercouples - Inspiring Stories of Couple - Preneurs, ,118, 
  Bond Ruskin,9386338904, Lone Fox Dancing - My Autobiography,135,450,4.7
  Singh K. Natwar,8129132745, One Life is not Enough - An Autobiography,726,288,4
  Peer Basharat,8184000901, Curfewed Night,612,280,4.5
  unknown,9386867168, Commando - Mossad,30,298,4.4
  Manecksha Freny,8129145715, BEHOLD- I SHINE,49,112,4.5
  Zaidi S. Hussain,9350295725, Headley And I,46,280,4.2
  Zaidi' and  ' S. Hussain,9351362256, BYCULLA TO BANGKOK,458,176,4.4
  Mirza' and  ' Sania,9351362639, ACE AGAINST ODDS,252,275,4.4
  Vinod Rai,8129134616, Not Just an Accountant - The Diary of the Nation's Conscience Keeper,1009,358,4.4
  Robin Banerjee,9351500616, Who Cheats and How?: Scams- Fraud and the Dark Side of the Corporate World - Scams- Fraud and the Dark Side of the Corporate World,11,360,4.6
  Sagarika Ghose,9386228343, Indira - India's Most Powerful Prime Minister,149,359,4.5
  Chandan Rahul,9350335603, KPS Gill,86,207,4.5
  RANDY PAUSCH,8183223583, THE LAST LECTURE,21,166,4.3
  Zusak Markus,1909531618, The Book Thief,558,320,4.5
  Gayle Forman,1909531235, If I Stay,638,255,4.3
  Shashi Tharoor,9386021102, WHY I AM A HINDU,2010,324,4.4
  Chbosky Stephen,1451696191, The Perks of Being a Wallflower,1897,186,4.5
  Bond Ruskin,8129118920, Great Stories for Children,2909,118,4.4
  Rowell Rainbow,1447263227, Fangirl,632,248,4.4
  J. K. Rowling,1408855658, Harry Potter and the Philosopher's Stone,5577,234,4.6
  Carnegie Dale,8192910997, How To Win Friends & Influence People - The First and Still the Best Book of Its kind on Self-Help,231,130,4.5
  George Orwell,8192910903,1984,339,99,4.5
  J. K. Rowling,1408855666, Harry Potter and the Chamber of Secrets,3839,374,4.7
  Dashner James,1911077031, The Fever Code,162,237,4.4
  Victoria Aveyard,1409150747, Glass Sword,112,196,4.6
  J. K. Rowling,1408855682, Harry Potter and the Goblet of Fire,2751,524,4.7
  DK,1409323498, The Animal Book,5,563,4.6
  Meyer Marissa,1509818022, Heartless - Before she was the Queen of Hearts she was just a Girl who wanted to Fall in Love,19,380,4.3
  J. K. Rowling,1408855674, Harry Potter and the Prisoner of Azkaban,3250,314,4.6
  Harrington Paul,1847386938, The Secret to Teen Power,207,373,4.5
  J. K. Rowling,1408855690, Harry Potter and the Order of the Phoenix,2441,524,4.8
  Stilton Geronimo,9385887815, Geronimo Stilton And The Kingdom Of Fantasy #8,626,360,4.5
  J. K. Rowling,1408855712, Harry Potter and the Deathly Hallows,2083,452,4.7
  Arni Samhita,9380340036, Sita's Ramayana,19,550,4.1
  James Dashner,9351039684, The Scorch Trials,180,234,4.6
  unknown,9386041901, Tom Gates #10,94,237,4.6
